case,implementation,status,error,dimension,family,input_format,output_format,wb,betatotal,aspect,raxis_cc,volume_p,iotaf_edge,pressure_axis,plasma_current
SPEC/ci/G1V03L0Fi/G1V03L0Fi,vmec2000,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,vmecpp,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,vmex,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,desc,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,educational_vmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,gvec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,jvmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,parvmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,spec,success,,3,spec_mhd,spec_namelist,spec_hdf5,,,,0.0,394.78417604357435,0.6188295464,,0.0
SPEC/ci/G1V03L3Fi/G1V03L3Fi,spectre,failed,Unsupported: SPECTRE requires VMEC input or native TOML,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,vmec2000,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L3Fi/G1V03L3Fi,vmecpp,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
