case,implementation,runtime_seconds,timing_source
DESC/inputs/DSHAPE,desc,59.37,GNU time real (s)
DESC/inputs/DSHAPE,educational_vmec,1.86,GNU time real (s)
DESC/inputs/DSHAPE,gvec,19.9,GVEC finished after (s)
DESC/inputs/DSHAPE,jvmec,7.14,total execution time (s)
DESC/inputs/DSHAPE,parvmec,1.14,total computational time (s)
DESC/inputs/DSHAPE,spectre,2.0,SPECTRE minimization time (s)
DESC/inputs/DSHAPE,vmec2000,1.21,total computational time (s)
DESC/inputs/DSHAPE,vmex,23.65,total computational time (s)
DESC/inputs/DSHAPE_desc,desc,58.9,GNU time real (s)
DESC/inputs/QSC_r2_5.5_vmec,educational_vmec,139.11,GNU time real (s)
DESC/inputs/QSC_r2_5.5_vmec,gvec,324.1,GVEC finished after (s)
DESC/inputs/QSC_r2_5.5_vmec,parvmec,83.69,total computational time (s)
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,11.49,total computational time (s)
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,35.8,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,27.99,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,0.16,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,0.11,total computational time (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,0.06,total computational time (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,0.61,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,11.84,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,desc,96.13,GNU time real (s)
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,28.11,total execution time (s)
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,2.47,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,2.39,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,4.13,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,desc,27.83,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,0.29,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,0.11,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,0.1,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,0.71,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,11.78,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,desc,26.33,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,0.17,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,0.13,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,0.05,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,0.64,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,10.56,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,desc,27.83,GNU time real (s)
PARVMEC/Testing/tests/niter_test/test,parvmec,0.03,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,vmec2000,0.01,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,vmecpp,0.56,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,desc,25.02,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,educational_vmec,0.18,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,parvmec,0.08,total computational time (s)
PARVMEC/Testing/tests/reset_test/test,vmec2000,0.05,total computational time (s)
PARVMEC/Testing/tests/reset_test/test,vmecpp,0.58,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,vmex,10.84,total computational time (s)
SPECTRE/file_io/oversized_guess,spectre,13.0,SPECTRE minimization time (s)
SPECTRE/test_files/W7-X_standard_configuration,desc,443.47,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,educational_vmec,0.93,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,gvec,93.1,GVEC finished after (s)
SPECTRE/test_files/W7-X_standard_configuration,jvmec,68.87,total execution time (s)
SPECTRE/test_files/W7-X_standard_configuration,parvmec,5.94,total computational time (s)
SPECTRE/test_files/W7-X_standard_configuration,vmec2000,5.43,total computational time (s)
SPECTRE/test_files/W7-X_standard_configuration,vmecpp,8.27,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,vmex,35.28,total computational time (s)
SPECTRE/test_files/iota,desc,95.45,GNU time real (s)
SPECTRE/test_files/iota,educational_vmec,0.44,GNU time real (s)
SPECTRE/test_files/iota,jvmec,42.12,total execution time (s)
SPECTRE/test_files/iota,parvmec,4.5,total computational time (s)
SPECTRE/test_files/iota,vmec2000,4.47,total computational time (s)
SPECTRE/test_files/iota,vmecpp,7.3,GNU time real (s)
SPECTRE/test_files/iota,vmex,37.64,total computational time (s)
SPECTRE/test_files/qabeta_curr,desc,105.06,GNU time real (s)
SPECTRE/test_files/qabeta_curr,educational_vmec,0.52,GNU time real (s)
SPECTRE/test_files/qabeta_curr,jvmec,33.14,total execution time (s)
SPECTRE/test_files/qabeta_curr,parvmec,3.4,total computational time (s)
SPECTRE/test_files/qabeta_curr,vmec2000,3.31,total computational time (s)
SPECTRE/test_files/qabeta_curr,vmecpp,6.47,GNU time real (s)
SPECTRE/test_files/qabeta_curr,vmex,35.31,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,desc,457.91,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,educational_vmec,1.2,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,gvec,95.3,GVEC finished after (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,parvmec,5.46,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmec2000,5.56,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmecpp,7.88,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmex,33.4,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,educational_vmec,8.01,GNU time real (s)
SPECTRE/utils/vmec2spectre/iota,parvmec,340.9,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,vmec2000,407.56,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,vmecpp,268.92,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,desc,99.01,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,educational_vmec,0.75,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,parvmec,14.61,total computational time (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmec2000,18.12,total computational time (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmecpp,17.57,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmex,64.19,total computational time (s)
SPECTRE/wrapper/cyl_manyvol_test,spectre,0.316,SPECTRE minimization time (s)
SPECTRE/wrapper/qa_7vol_test,spectre,0.865,SPECTRE minimization time (s)
SPECTRE/wrapper/test_freeb_w7x,spectre,45.0,SPECTRE minimization time (s)
SPECTRE/wrapper/test_lconsmin2_w7x,spectre,0.145,SPECTRE minimization time (s)
SPEC/ci/G1V03L0Fi/G1V03L0Fi,spec,0.14,SPEC completion time (s)
SPEC/ci/G1V03L3Fi/G1V03L3Fi,spec,0.12,SPEC completion time (s)
SPEC/ci/G2V32L1Fi_FG/G2V32L1Fi.001,spec,11.88,SPEC completion time (s)
SPEC/ci/G2V32L1Fi/G2V32L1Fi.001,spec,2.7,SPEC completion time (s)
SPEC/ci/G3V08L3Fi/G3V08L3Fi.001,spec,4.12,SPEC completion time (s)
SPEC/ci/G3V08L3FrGrid/G3V08L3FrGrid.001,spec,13.65,SPEC completion time (s)
SPEC/ci/G3V08L3Fr_FG/G3V08L3Fr.001,spec,0.16,SPEC completion time (s)
SPEC/ci/G3V08L3Fr/G3V08L3Fr.001,spec,35.61,SPEC completion time (s)
SPEC/ci/toroidal_freeboundary_vacuum/G3V02L0Fr,spec,6.42,SPEC completion time (s)
SPEC/ci/toroidal_freeboundary_vacuum/G3V02L0Fr_LU,spec,13.36,SPEC completion time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,desc,59.57,GNU time real (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,educational_vmec,0.26,GNU time real (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,gvec,41.1,GVEC finished after (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,jvmec,19.57,total execution time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,spectre,66.0,SPECTRE minimization time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,vmec2000,0.71,total computational time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,vmex,19.2,total computational time (s)
VMEC2000/python/tests/circular_tokamak,desc,40.63,GNU time real (s)
VMEC2000/python/tests/circular_tokamak,educational_vmec,0.37,GNU time real (s)
VMEC2000/python/tests/circular_tokamak,gvec,9.1,GVEC finished after (s)
VMEC2000/python/tests/circular_tokamak,jvmec,7.41,total execution time (s)
VMEC2000/python/tests/circular_tokamak,parvmec,0.16,total computational time (s)
VMEC2000/python/tests/circular_tokamak,spectre,2.0,SPECTRE minimization time (s)
VMEC2000/python/tests/circular_tokamak,vmec2000,0.37,total computational time (s)
VMEC2000/python/tests/circular_tokamak,vmecpp,0.78,GNU time real (s)
VMEC2000/python/tests/circular_tokamak,vmex,13.75,total computational time (s)
VMEC2000/python/tests/li383_low_res,desc,80.2,GNU time real (s)
VMEC2000/python/tests/li383_low_res,educational_vmec,0.14,GNU time real (s)
VMEC2000/python/tests/li383_low_res,parvmec,0.72,total computational time (s)
VMEC2000/python/tests/li383_low_res,vmec2000,0.05,total computational time (s)
VMEC2000/python/tests/li383_low_res,vmecpp,0.81,GNU time real (s)
VMEC2000/python/tests/li383_low_res,vmex,11.19,total computational time (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,desc,22.28,GNU time real (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,educational_vmec,0.54,GNU time real (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,gvec,19.3,GVEC finished after (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,jvmec,7.15,total execution time (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,parvmec,0.21,total computational time (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,spectre,0.119,SPECTRE minimization time (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,vmec2000,0.27,total computational time (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,vmecpp,0.66,GNU time real (s)
VMEC2000/python/tests/up_down_asymmetric_tokamak,vmex,12.3,total computational time (s)
VMEX/data/DIII-D_lasym_false,desc,64.85,GNU time real (s)
VMEX/data/DSHAPE,desc,55.97,GNU time real (s)
VMEX/data/DSHAPE,educational_vmec,1.83,GNU time real (s)
VMEX/data/DSHAPE,gvec,21.0,GVEC finished after (s)
VMEX/data/DSHAPE,jvmec,8.64,total execution time (s)
VMEX/data/DSHAPE,parvmec,1.18,total computational time (s)
VMEX/data/DSHAPE,spectre,2.0,SPECTRE minimization time (s)
VMEX/data/DSHAPE,vmec2000,1.19,total computational time (s)
VMEX/data/DSHAPE,vmecpp,1.52,GNU time real (s)
VMEX/data/DSHAPE,vmex,23.13,total computational time (s)
VMEX/data/ITERModel,desc,44.59,GNU time real (s)
VMEX/data/ITERModel,educational_vmec,0.84,GNU time real (s)
VMEX/data/ITERModel,gvec,9.5,GVEC finished after (s)
VMEX/data/ITERModel,jvmec,7.59,total execution time (s)
VMEX/data/ITERModel,parvmec,0.33,total computational time (s)
VMEX/data/ITERModel,vmec2000,0.32,total computational time (s)
VMEX/data/ITERModel,vmecpp,0.9,GNU time real (s)
VMEX/data/ITERModel,vmex,18.69,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta0p5_bootstrap,desc,105.25,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_beta0p5_bootstrap,parvmec,0.96,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta0p5_bootstrap,vmec2000,0.94,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta0p5_bootstrap,vmecpp,2.27,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_beta0p5_bootstrap,vmex,15.75,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta2p5_bootstrap,desc,112.48,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_beta2p5_bootstrap,parvmec,1.49,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta2p5_bootstrap,vmec2000,1.48,total computational time (s)
VMEX/data/LandremanPaul2021_QA_beta2p5_bootstrap,vmecpp,2.78,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_beta2p5_bootstrap,vmex,29.84,total computational time (s)
VMEX/data/LandremanPaul2021_QA_lowres,desc,188.66,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres,educational_vmec,13.39,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres,gvec,64.8,GVEC finished after (s)
VMEX/data/LandremanPaul2021_QA_lowres,parvmec,3.72,total computational time (s)
VMEX/data/LandremanPaul2021_QA_lowres,vmec2000,3.78,total computational time (s)
VMEX/data/LandremanPaul2021_QA_lowres,vmecpp,5.4,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres1,desc,86.79,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres1,educational_vmec,12.65,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres1,gvec,50.2,GVEC finished after (s)
VMEX/data/LandremanPaul2021_QA_lowres1,parvmec,3.03,total computational time (s)
VMEX/data/LandremanPaul2021_QA_lowres1,vmec2000,2.83,total computational time (s)
VMEX/data/LandremanPaul2021_QA_lowres1,vmecpp,5.36,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_lowres1,vmex,28.88,total computational time (s)
VMEX/data/LandremanPaul2021_QA_reactorScale_lowres,desc,168.65,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_reactorScale_lowres,educational_vmec,21.08,GNU time real (s)
VMEX/data/LandremanPaul2021_QA_reactorScale_lowres,jvmec,41.45,total execution time (s)
VMEX/data/LandremanPaul2021_QA_reactorScale_lowres,vmec2000,5.61,total computational time (s)
VMEX/data/LandremanPaul2021_QA_reactorScale_lowres,vmex,31.95,total computational time (s)
VMEX/data/LandremanPaul2021_QH_reactorScale_lowres,desc,149.41,GNU time real (s)
VMEX/data/LandremanPaul2021_QH_reactorScale_lowres,educational_vmec,27.32,GNU time real (s)
VMEX/data/LandremanPaul2021_QH_reactorScale_lowres,jvmec,48.11,total execution time (s)
VMEX/data/LandremanPaul2021_QH_reactorScale_lowres,vmec2000,6.6,total computational time (s)
VMEX/data/LandremanPaul2021_QH_reactorScale_lowres,vmex,34.16,total computational time (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,desc,27.11,GNU time real (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,educational_vmec,0.22,GNU time real (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,gvec,2.7,GVEC finished after (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,jvmec,6.66,total execution time (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,spectre,0.019,SPECTRE minimization time (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,vmec2000,0.06,total computational time (s)
VMEX/data/LandremanSengupta2019_section5.4_B2_A80,vmex,13.11,total computational time (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,desc,26.31,GNU time real (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,educational_vmec,0.49,GNU time real (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,gvec,3.0,GVEC finished after (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,jvmec,6.85,total execution time (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,spectre,0.124,SPECTRE minimization time (s)
VMEX/data/LandremanSenguptaPlunk_section5p3_low_res,vmec2000,0.21,total computational time (s)
VMEX/data/NuhrenbergZille_1988_QHS,desc,538.51,GNU time real (s)
VMEX/data/NuhrenbergZille_1988_QHS,educational_vmec,448.15,GNU time real (s)
VMEX/data/NuhrenbergZille_1988_QHS,gvec,106.3,GVEC finished after (s)
VMEX/data/NuhrenbergZille_1988_QHS,parvmec,91.71,total computational time (s)
VMEX/data/NuhrenbergZille_1988_QHS,vmec2000,92.02,total computational time (s)
VMEX/data/NuhrenbergZille_1988_QHS,vmecpp,77.14,GNU time real (s)
VMEX/data/NuhrenbergZille_1988_QHS,vmex,240.72,total computational time (s)
VMEX/data/QI_nfp2_initial,desc,89.75,GNU time real (s)
VMEX/data/QI_nfp2_initial,educational_vmec,13.74,GNU time real (s)
VMEX/data/QI_nfp2_initial,gvec,50.8,GVEC finished after (s)
VMEX/data/QI_nfp2_initial,jvmec,31.36,total execution time (s)
VMEX/data/QI_nfp2_initial,parvmec,4.11,total computational time (s)
VMEX/data/QI_nfp2_initial,vmec2000,4.52,total computational time (s)
VMEX/data/QI_nfp2_initial,vmecpp,5.25,GNU time real (s)
VMEX/data/QI_nfp2_initial,vmex,34.83,total computational time (s)
VMEX/data/QI_stel_seed_3127,desc,74.38,GNU time real (s)
VMEX/data/QI_stel_seed_3127,educational_vmec,3.11,GNU time real (s)
VMEX/data/QI_stel_seed_3127,gvec,40.2,GVEC finished after (s)
VMEX/data/QI_stel_seed_3127,jvmec,16.13,total execution time (s)
VMEX/data/QI_stel_seed_3127,parvmec,0.94,total computational time (s)
VMEX/data/QI_stel_seed_3127,vmec2000,1.02,total computational time (s)
VMEX/data/QI_stel_seed_3127,vmecpp,1.94,GNU time real (s)
VMEX/data/QI_stel_seed_3127,vmex,19.55,total computational time (s)
VMEX/data/basic_non_stellsym_pressure,desc,53.42,GNU time real (s)
VMEX/data/basic_non_stellsym_pressure,educational_vmec,5.95,GNU time real (s)
VMEX/data/basic_non_stellsym_pressure,gvec,25.4,GVEC finished after (s)
VMEX/data/basic_non_stellsym_pressure,parvmec,0.52,total computational time (s)
VMEX/data/basic_non_stellsym_pressure,vmec2000,0.7,total computational time (s)
VMEX/data/basic_non_stellsym_pressure,vmecpp,0.7,GNU time real (s)
VMEX/data/basic_non_stellsym_pressure,vmex,32.79,total computational time (s)
VMEX/data/basic_non_stellsym_simsopt,desc,53.6,GNU time real (s)
VMEX/data/basic_non_stellsym_simsopt,educational_vmec,0.06,GNU time real (s)
VMEX/data/basic_non_stellsym_simsopt,jvmec,25.23,total execution time (s)
VMEX/data/basic_non_stellsym_simsopt,parvmec,1.16,total computational time (s)
VMEX/data/basic_non_stellsym_simsopt,spectre,2.0,SPECTRE minimization time (s)
VMEX/data/basic_non_stellsym_simsopt,vmec2000,0.97,total computational time (s)
VMEX/data/basic_non_stellsym_simsopt,vmecpp,0.69,GNU time real (s)
VMEX/data/basic_non_stellsym_simsopt,vmex,30.06,total computational time (s)
VMEX/data/circular_tokamak,desc,41.29,GNU time real (s)
VMEX/data/circular_tokamak,educational_vmec,0.29,GNU time real (s)
VMEX/data/circular_tokamak,gvec,8.9,GVEC finished after (s)
VMEX/data/circular_tokamak,jvmec,5.71,total execution time (s)
VMEX/data/circular_tokamak,parvmec,0.15,total computational time (s)
VMEX/data/circular_tokamak,spectre,3.0,SPECTRE minimization time (s)
VMEX/data/circular_tokamak,vmec2000,0.08,total computational time (s)
VMEX/data/circular_tokamak,vmecpp,0.69,GNU time real (s)
VMEX/data/circular_tokamak,vmex,12.67,total computational time (s)
VMEX/data/circular_tokamak_aspect_100,desc,38.99,GNU time real (s)
VMEX/data/circular_tokamak_aspect_100,educational_vmec,1.12,GNU time real (s)
VMEX/data/circular_tokamak_aspect_100,gvec,0.6,GVEC finished after (s)
VMEX/data/circular_tokamak_aspect_100,jvmec,8.48,total execution time (s)
VMEX/data/circular_tokamak_aspect_100,parvmec,1.05,total computational time (s)
VMEX/data/circular_tokamak_aspect_100,spectre,0.027,SPECTRE minimization time (s)
VMEX/data/circular_tokamak_aspect_100,vmec2000,1.06,total computational time (s)
VMEX/data/circular_tokamak_aspect_100,vmecpp,2.16,GNU time real (s)
VMEX/data/circular_tokamak_aspect_100,vmex,25.54,total computational time (s)
VMEX/data/cth_like_fixed_bdy,desc,48.15,GNU time real (s)
VMEX/data/cth_like_fixed_bdy,educational_vmec,0.75,GNU time real (s)
VMEX/data/cth_like_fixed_bdy,jvmec,10.89,total execution time (s)
VMEX/data/cth_like_fixed_bdy,parvmec,0.3,total computational time (s)
VMEX/data/cth_like_fixed_bdy,vmec2000,0.37,total computational time (s)
VMEX/data/cth_like_fixed_bdy,vmecpp,1.14,GNU time real (s)
VMEX/data/cth_like_fixed_bdy,vmex,11.01,total computational time (s)
VMEX/data/cth_like_free_bdy,desc,82.6,GNU time real (s)
VMEX/data/cth_like_free_bdy,educational_vmec,3.27,GNU time real (s)
VMEX/data/cth_like_free_bdy,jvmec,16.59,total execution time (s)
VMEX/data/cth_like_free_bdy,parvmec,0.81,total computational time (s)
VMEX/data/cth_like_free_bdy,vmec2000,0.77,total computational time (s)
VMEX/data/cth_like_free_bdy,vmecpp,1.97,GNU time real (s)
VMEX/data/cth_like_free_bdy,vmex,21.57,total computational time (s)
VMEX/data/cth_like_free_bdy_lasym_small,desc,83.18,GNU time real (s)
VMEX/data/cth_like_free_bdy_lasym_small,educational_vmec,8.82,GNU time real (s)
VMEX/data/cth_like_free_bdy_lasym_small,parvmec,1.69,total computational time (s)
VMEX/data/cth_like_free_bdy_lasym_small,vmec2000,1.64,total computational time (s)
VMEX/data/li383_low_res,desc,87.67,GNU time real (s)
VMEX/data/li383_low_res,educational_vmec,0.19,GNU time real (s)
VMEX/data/li383_low_res,parvmec,0.1,total computational time (s)
VMEX/data/li383_low_res,vmec2000,0.04,total computational time (s)
VMEX/data/li383_low_res,vmecpp,0.87,GNU time real (s)
VMEX/data/li383_low_res,vmex,11.4,total computational time (s)
VMEX/data/minimal_seed_nfp1,desc,71.63,GNU time real (s)
VMEX/data/minimal_seed_nfp1,educational_vmec,0.55,GNU time real (s)
VMEX/data/minimal_seed_nfp1,gvec,5.6,GVEC finished after (s)
VMEX/data/minimal_seed_nfp1,jvmec,5.53,total execution time (s)
VMEX/data/minimal_seed_nfp1,parvmec,0.23,total computational time (s)
VMEX/data/minimal_seed_nfp1,vmec2000,0.16,total computational time (s)
VMEX/data/minimal_seed_nfp1,vmecpp,1.31,GNU time real (s)
VMEX/data/minimal_seed_nfp1,vmex,12.55,total computational time (s)
VMEX/data/minimal_seed_nfp2,desc,71.01,GNU time real (s)
VMEX/data/minimal_seed_nfp2,educational_vmec,0.52,GNU time real (s)
VMEX/data/minimal_seed_nfp2,gvec,5.7,GVEC finished after (s)
VMEX/data/minimal_seed_nfp2,jvmec,5.31,total execution time (s)
VMEX/data/minimal_seed_nfp2,parvmec,0.22,total computational time (s)
VMEX/data/minimal_seed_nfp2,vmec2000,0.16,total computational time (s)
VMEX/data/minimal_seed_nfp2,vmecpp,1.37,GNU time real (s)
VMEX/data/minimal_seed_nfp2,vmex,12.32,total computational time (s)
VMEX/data/minimal_seed_nfp2_target_helicity,desc,70.26,GNU time real (s)
VMEX/data/minimal_seed_nfp2_target_helicity,educational_vmec,2.47,GNU time real (s)
VMEX/data/minimal_seed_nfp2_target_helicity,gvec,5.1,GVEC finished after (s)
VMEX/data/minimal_seed_nfp2_target_helicity,jvmec,16.2,total execution time (s)
VMEX/data/minimal_seed_nfp2_target_helicity,parvmec,0.73,total computational time (s)
VMEX/data/minimal_seed_nfp2_target_helicity,vmec2000,0.74,total computational time (s)
VMEX/data/minimal_seed_nfp2_target_helicity,vmecpp,2.04,GNU time real (s)
VMEX/data/minimal_seed_nfp2_target_helicity,vmex,12.13,total computational time (s)
VMEX/data/minimal_seed_nfp3,desc,47.23,GNU time real (s)
VMEX/data/minimal_seed_nfp3,educational_vmec,1.76,GNU time real (s)
VMEX/data/minimal_seed_nfp3,gvec,3.4,GVEC finished after (s)
VMEX/data/minimal_seed_nfp3,jvmec,15.97,total execution time (s)
VMEX/data/minimal_seed_nfp3,parvmec,0.57,total computational time (s)
VMEX/data/minimal_seed_nfp3,vmec2000,0.51,total computational time (s)
VMEX/data/minimal_seed_nfp3,vmecpp,1.71,GNU time real (s)
VMEX/data/minimal_seed_nfp3,vmex,12.58,total computational time (s)
VMEX/data/minimal_seed_nfp4,desc,47.99,GNU time real (s)
VMEX/data/minimal_seed_nfp4,educational_vmec,1.8,GNU time real (s)
VMEX/data/minimal_seed_nfp4,gvec,3.3,GVEC finished after (s)
VMEX/data/minimal_seed_nfp4,jvmec,15.73,total execution time (s)
VMEX/data/minimal_seed_nfp4,parvmec,0.58,total computational time (s)
VMEX/data/minimal_seed_nfp4,vmec2000,0.51,total computational time (s)
VMEX/data/minimal_seed_nfp4,vmecpp,1.53,GNU time real (s)
VMEX/data/minimal_seed_nfp4,vmex,11.86,total computational time (s)
VMEX/data/ncsx_c09r00_free_lowres,desc,103.4,GNU time real (s)
VMEX/data/near_degenerate_vacuum_nfp3,desc,66.27,GNU time real (s)
VMEX/data/near_degenerate_vacuum_nfp3,educational_vmec,7.64,GNU time real (s)
VMEX/data/near_degenerate_vacuum_nfp3,gvec,4.0,GVEC finished after (s)
VMEX/data/near_degenerate_vacuum_nfp3,jvmec,17.85,total execution time (s)
VMEX/data/near_degenerate_vacuum_nfp3,parvmec,0.68,total computational time (s)
VMEX/data/near_degenerate_vacuum_nfp3,vmec2000,0.66,total computational time (s)
VMEX/data/near_degenerate_vacuum_nfp3,vmecpp,3.14,GNU time real (s)
VMEX/data/near_degenerate_vacuum_nfp3,vmex,12.93,total computational time (s)
VMEX/data/nfp1_QI,desc,75.74,GNU time real (s)
VMEX/data/nfp1_QI,educational_vmec,18.61,GNU time real (s)
VMEX/data/nfp1_QI,gvec,47.1,GVEC finished after (s)
VMEX/data/nfp1_QI,jvmec,38.19,total execution time (s)
VMEX/data/nfp1_QI,parvmec,5.41,total computational time (s)
VMEX/data/nfp1_QI,vmec2000,5.49,total computational time (s)
VMEX/data/nfp1_QI,vmecpp,5.24,GNU time real (s)
VMEX/data/nfp1_QI,vmex,32.5,total computational time (s)
VMEX/data/nfp2_QA,desc,65.56,GNU time real (s)
VMEX/data/nfp2_QA,educational_vmec,1.72,GNU time real (s)
VMEX/data/nfp2_QA,gvec,3.5,GVEC finished after (s)
VMEX/data/nfp2_QA,jvmec,15.92,total execution time (s)
VMEX/data/nfp2_QA,parvmec,0.54,total computational time (s)
VMEX/data/nfp2_QA,vmec2000,0.52,total computational time (s)
VMEX/data/nfp2_QA,vmecpp,1.6,GNU time real (s)
VMEX/data/nfp2_QA,vmex,11.93,total computational time (s)
