case,implementation,metric,value
PARVMEC/Testing/tests/niter_test/test,vmec2000,aspect,4.949747468305834
PARVMEC/Testing/tests/niter_test/test,vmec2000,raxis_cc,0.7269397206615911
PARVMEC/Testing/tests/niter_test/test,vmec2000,volume_p,0.2763489232305021
PARVMEC/Testing/tests/niter_test/test,vmec2000,iotaf_edge,0.29077807594675736
PARVMEC/Testing/tests/niter_test/test,vmec2000,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/niter_test/test,vmec2000,plasma_current,40000.17034945363
PARVMEC/Testing/tests/niter_test/test,vmecpp,wb,0.0025582124079946496
PARVMEC/Testing/tests/niter_test/test,vmecpp,betatotal,0.0
PARVMEC/Testing/tests/niter_test/test,vmecpp,aspect,4.949747468305834
PARVMEC/Testing/tests/niter_test/test,vmecpp,raxis_cc,0.7269153912378156
PARVMEC/Testing/tests/niter_test/test,vmecpp,volume_p,0.2763489232305021
PARVMEC/Testing/tests/niter_test/test,vmecpp,iotaf_edge,0.2598385379216558
PARVMEC/Testing/tests/niter_test/test,vmecpp,pressure_axis,0.0
PARVMEC/Testing/tests/niter_test/test,vmecpp,plasma_current,40000.170320556266
PARVMEC/Testing/tests/reset_test/test,desc,wb,0.0007407048164296386
PARVMEC/Testing/tests/reset_test/test,desc,betatotal,0.0
PARVMEC/Testing/tests/reset_test/test,desc,aspect,3.0000000004573946
PARVMEC/Testing/tests/reset_test/test,desc,raxis_cc,0.7496981442889861
PARVMEC/Testing/tests/reset_test/test,desc,volume_p,0.9252754127431984
PARVMEC/Testing/tests/reset_test/test,desc,iotaf_edge,-0.3406423468043729
PARVMEC/Testing/tests/reset_test/test,desc,pressure_axis,0.0
PARVMEC/Testing/tests/reset_test/test,desc,plasma_current,-39999.999939999994
PARVMEC/Testing/tests/reset_test/test,educational_vmec,wb,0.0007499526836327072
PARVMEC/Testing/tests/reset_test/test,educational_vmec,betatotal,0.015708944145103997
PARVMEC/Testing/tests/reset_test/test,educational_vmec,aspect,3.0
PARVMEC/Testing/tests/reset_test/test,educational_vmec,raxis_cc,0.7629778279943636
PARVMEC/Testing/tests/reset_test/test,educational_vmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/reset_test/test,educational_vmec,iotaf_edge,0.3405908021246178
PARVMEC/Testing/tests/reset_test/test,educational_vmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/reset_test/test,educational_vmec,plasma_current,40000.170320556295
PARVMEC/Testing/tests/reset_test/test,parvmec,wb,0.000749952683632707
PARVMEC/Testing/tests/reset_test/test,parvmec,betatotal,0.015708944145103994
PARVMEC/Testing/tests/reset_test/test,parvmec,aspect,3.0
PARVMEC/Testing/tests/reset_test/test,parvmec,raxis_cc,0.7629778279943625
PARVMEC/Testing/tests/reset_test/test,parvmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/reset_test/test,parvmec,iotaf_edge,0.340590802124621
